date,open,high,low,adjClose,value,volume,count,close
2016-10-02,550.0,550.0,511.0,530.0,53040000,100000,3,511.0
2016-10-05,516.0,516.0,516.0,516.0,56760000,110000,2,516.0
2016-10-08,518.0,518.0,518.0,518.0,25900000,50000,1,518.0
2016-10-15,600.0,600.0,552.0,579.0,110956024,191587,4,552.0
2016-10-16,630.0,649.0,563.0,600.0,263427022,439097,11,639.0
2016-10-18,650.0,650.0,647.0,649.0,201255300,309900,5,650.0
2016-10-22,601.0,601.0,601.0,601.0,20804216,34616,1,601.0
2016-10-24,650.0,650.0,649.0,650.0,14299000,22000,3,649.0
2016-10-26,601.0,601.0,600.0,600.0,60090100,100100,6,601.0
2016-10-29,590.0,601.0,585.0,592.0,62724152,106000,5,585.0
2016-10-31,600.0,600.0,600.0,600.0,18000000,30000,1,600.0
2016-11-01,600.0,600.0,580.0,586.0,27045840,46148,3,580.0
2016-11-05,600.0,640.0,600.0,617.0,81768640,132451,4,640.0
2016-11-07,629.0,629.0,600.0,603.0,76547000,127000,7,600.0
2016-11-08,600.0,600.0,600.0,600.0,10200000,17000,1,600.0
2016-11-09,583.0,600.0,571.0,582.0,196017000,337000,8,580.0
2016-11-12,580.0,585.0,580.0,584.0,116750000,200000,5,585.0
2016-11-13,598.0,598.0,572.0,585.0,45058000,77000,3,585.0
2016-11-14,595.0,600.0,595.0,598.0,188897000,316000,6,600.0
2016-11-15,610.0,630.0,600.0,607.0,126760000,209000,11,600.0
2016-11-16,600.0,610.0,600.0,601.0,104510000,174000,6,600.0
2016-11-19,600.0,623.0,600.0,604.0,90575000,150000,6,600.0
2016-11-21,600.0,600.0,572.0,579.0,130300000,225000,4,572.0
2016-11-23,581.0,581.0,581.0,581.0,6391000,11000,1,581.0
2016-11-26,600.0,620.0,599.0,609.0,167583000,275000,4,620.0
2016-11-27,619.0,619.0,619.0,619.0,12380000,20000,1,619.0
2016-12-06,600.0,628.0,600.0,613.0,191236000,312000,6,628.0
2016-12-07,600.0,600.0,600.0,600.0,17400000,29000,1,600.0
2016-12-11,600.0,600.0,600.0,600.0,300000,500,1,600.0
2016-12-12,600.0,600.0,600.0,600.0,12600000,21000,1,600.0
2016-12-13,587.0,587.0,587.0,587.0,12033500,20500,1,587.0
2016-12-18,586.0,586.0,586.0,586.0,117200000,200000,2,586.0
2016-12-19,585.0,585.0,585.0,585.0,26117910,44646,1,585.0
2016-12-20,600.0,600.0,600.0,600.0,129800400,216334,3,600.0
2016-12-25,590.0,590.0,590.0,590.0,14750000,25000,1,590.0
2016-12-26,590.0,599.0,590.0,591.0,86838000,147000,3,599.0
2016-12-27,590.0,599.0,587.0,597.0,507590000,850000,4,587.0
2016-12-28,600.0,625.0,600.0,611.0,195792000,320500,4,625.0
2017-01-02,630.0,630.0,590.0,601.0,157435000,262000,8,600.0
2017-01-03,601.0,601.0,601.0,601.0,6010000,10000,1,601.0
2017-01-04,591.0,600.0,590.0,590.0,181210000,307000,3,600.0
2017-01-07,592.0,592.0,591.0,591.0,54971000,93000,3,591.0
2017-01-11,600.0,609.0,600.0,600.0,184993800,308200,4,600.0
2017-01-14,609.0,610.0,600.0,607.0,134726200,221800,5,600.0
2017-01-15,600.0,600.0,591.0,599.0,18119334,30254,3,591.0
2017-01-16,637.0,637.0,636.0,637.0,12926400,20300,2,636.0
2017-01-18,636.0,640.0,636.0,637.0,218150800,342300,6,640.0
2017-01-21,640.0,650.0,640.0,649.0,520920000,803000,8,650.0
2017-01-22,695.0,695.0,650.0,671.0,150927500,225000,7,686.0
2017-01-23,640.0,670.0,640.0,659.0,136480500,207000,9,670.0
2017-01-25,700.0,700.0,600.0,602.0,1298265000,2157000,9,651.0
2017-01-28,650.0,653.0,604.0,633.0,52167440,82360,9,604.0
2017-01-30,644.0,650.0,644.0,646.0,129270000,200000,5,650.0
2017-01-31,610.0,610.0,590.0,594.0,924492560,1557640,15,590.0
2017-02-01,601.0,601.0,595.0,600.0,33874775,56445,4,595.0
2017-02-07,611.0,611.0,590.0,599.0,25646295,42828,7,590.0
2017-02-08,590.0,590.0,590.0,590.0,44253540,75006,2,590.0
2017-02-11,610.0,610.0,590.0,591.0,88018910,149049,4,590.0
2017-02-13,590.0,590.0,590.0,590.0,17700000,30000,1,590.0
2017-02-14,600.0,600.0,600.0,600.0,31159800,51933,2,600.0
2017-02-15,610.0,610.0,610.0,610.0,6100000,10000,1,610.0
2017-02-19,602.0,602.0,600.0,601.0,96021058,159796,3,600.0
2017-02-20,601.0,601.0,600.0,600.0,87631000,146000,3,600.0
2017-02-22,600.0,600.0,600.0,600.0,35995200,59992,2,600.0
2017-02-27,593.0,593.0,592.0,593.0,10280872,17341,2,592.0
2017-03-01,600.0,600.0,592.0,598.0,23924736,40008,3,592.0
2017-03-04,590.0,593.0,590.0,590.0,674280482,1142602,6,590.0
2017-03-06,588.0,588.0,586.0,587.0,76281758,130003,4,586.0
2017-03-13,600.0,640.0,530.0,568.0,90126420,158790,15,640.0
2017-03-14,620.0,620.0,601.0,613.0,12250700,20000,4,601.0
2017-03-15,602.0,619.0,600.0,607.0,110126410,181300,21,604.0
2017-03-18,629.0,631.0,607.0,628.0,41538756,66116,13,631.0
2017-03-25,630.0,630.0,627.0,628.0,22284500,35500,3,627.0
2017-03-26,629.0,629.0,588.0,601.0,126945882,211177,18,588.0
2017-03-27,620.0,627.0,620.0,621.0,77570000,125000,6,620.0
2017-03-28,619.0,620.0,619.0,620.0,55181020,89021,9,620.0
2017-03-29,619.0,620.0,619.0,620.0,35753920,57686,6,620.0
2017-04-03,619.0,620.0,619.0,620.0,54598900,88100,10,620.0
2017-04-04,610.0,610.0,600.0,601.0,240261400,400000,21,600.0
2017-04-05,601.0,620.0,601.0,607.0,32150000,53000,4,606.0
2017-04-08,603.0,638.0,603.0,624.0,88530976,141913,11,632.0
2017-04-09,631.0,686.0,631.0,669.0,870300127,1300947,76,685.0
2017-04-10,710.0,729.0,710.0,722.0,340917000,472000,28,729.0
2017-04-12,758.0,758.0,720.0,726.0,142183455,195895,12,722.0
2017-04-15,702.0,790.0,701.0,768.0,1280868743,1667543,95,790.0
2017-04-16,839.0,844.0,839.0,843.0,697627349,827564,64,844.0
2017-04-17,927.0,927.0,781.0,880.0,889991045,1010788,81,820.0
2017-04-18,836.0,865.0,815.0,827.0,105209200,127200,13,816.0
2017-04-19,798.0,837.0,781.0,797.0,940074778,1179855,80,781.0
2017-04-22,845.0,845.0,751.0,774.0,282995976,365707,36,760.0
2017-04-23,820.0,820.0,751.0,758.0,513416450,677323,50,780.0
2017-04-24,780.0,833.0,730.0,809.0,450894972,557128,39,833.0
2017-04-26,800.0,849.0,752.0,802.0,607235008,757079,38,840.0
2017-04-29,837.0,837.0,772.0,792.0,84953800,107289,9,834.0
2017-04-30,837.0,871.0,800.0,858.0,962012036,1121525,85,830.0
2017-05-01,842.0,889.0,792.0,814.0,845929254,1039297,54,820.0
2017-05-02,770.0,820.0,740.0,759.0,714361576,940812,67,782.0
2017-05-03,761.0,834.0,740.0,795.0,1880958923,2367351,135,834.0
2017-05-06,870.0,874.0,816.0,872.0,874418385,1002335,38,874.0
2017-05-07,870.0,958.0,850.0,944.0,1666633492,1764933,144,900.0
2017-05-08,880.0,885.0,850.0,862.0,1089775075,1263926,75,850.0
2017-05-09,806.0,885.0,806.0,862.0,7062740,8192,4,880.0
2017-05-10,899.0,899.0,800.0,846.0,94203336,111350,14,850.0
2017-05-13,853.0,901.0,762.0,824.0,3308829914,4016354,216,800.0
2017-05-14,791.0,860.0,790.0,806.0,157564784,195481,23,800.0
2017-05-15,820.0,820.0,731.0,745.0,1566802381,2101959,141,735.0
2017-05-16,740.0,775.0,740.0,746.0,176823236,237076,20,743.0
2017-05-17,790.0,814.0,750.0,769.0,501296686,651929,51,750.0
2017-05-20,840.0,840.0,789.0,813.0,389234281,478717,40,789.0
2017-05-21,859.0,859.0,778.0,830.0,721434213,869025,81,829.0
2017-05-22,830.0,830.0,770.0,805.0,54236570,67393,10,800.0
2017-05-23,859.0,859.0,811.0,839.0,594272403,707893,67,837.0
2017-05-24,848.0,848.0,813.0,830.0,596653416,718450,57,821.0
2017-05-27,801.0,834.0,791.0,801.0,580837795,725059,54,793.0
2017-05-28,786.0,822.0,765.0,803.0,612396073,762975,68,804.0
2017-05-29,825.0,825.0,785.0,797.0,680967672,854687,65,787.0
2017-05-30,775.0,829.0,775.0,822.0,939462004,1143239,72,825.0
2017-05-31,800.0,822.0,796.0,803.0,710773854,884693,74,800.0
2017-06-03,829.0,859.0,801.0,839.0,1068576179,1273664,67,850.0
2017-07-18,730.0,730.0,730.0,704.0,118625000,162500,7,730.0
2017-07-19,900.0,900.0,723.0,753.0,483062986,615923,79,766.0
2017-07-22,810.0,810.0,710.0,738.0,702271984,951906,69,721.0
2017-07-23,720.0,759.0,712.0,720.0,519870889,721860,77,713.0
2017-07-24,725.0,784.0,705.0,748.0,1365655265,1826252,142,780.0
2017-07-25,820.0,822.0,791.0,821.0,4648090315,5662584,309,822.0
2017-07-26,850.0,851.0,770.0,824.0,920147409,1116107,102,770.0
2017-07-29,758.0,790.0,751.0,760.0,307682040,404895,33,751.0
2017-07-30,752.0,770.0,736.0,747.0,451460573,604165,57,736.0
2017-07-31,797.0,797.0,741.0,759.0,692158393,912233,82,741.0
2017-08-01,769.0,788.0,738.0,759.0,2261872928,2979661,225,784.0
2017-08-02,780.0,800.0,765.0,784.0,883894174,1127242,132,766.0
2017-08-06,799.0,799.0,747.0,758.0,559459974,737705,71,753.0
2017-08-07,770.0,779.0,710.0,741.0,919291238,1241279,95,748.0
2017-08-08,741.0,770.0,731.0,749.0,353915496,472571,50,740.0
2017-08-09,749.0,762.0,726.0,732.0,360295798,492139,46,730.0
2017-08-12,747.0,747.0,723.0,729.0,529707987,726166,67,723.0
2017-08-13,721.0,749.0,721.0,738.0,381892443,517515,48,729.0
2017-08-14,748.0,748.0,735.0,740.0,420885114,568687,51,735.0
2017-08-15,725.0,740.0,710.0,714.0,309229271,432977,49,710.0
2017-08-16,700.0,721.0,669.0,685.0,707833237,1033644,138,700.0
2017-08-19,674.0,699.0,665.0,671.0,311628996,464295,88,666.0
2017-08-29,734.0,734.0,734.0,734.0,145698266,198499,18,734.0
2017-08-30,740.0,740.0,677.0,708.0,214948499,303635,73,692.0
2017-09-02,720.0,725.0,670.0,677.0,240810847,355941,75,670.0
2017-09-03,699.0,699.0,630.0,640.0,360827060,563916,74,660.0
2017-09-04,651.0,678.0,623.0,630.0,313360279,497349,72,624.0
2017-09-05,640.0,660.0,614.0,627.0,280473512,447076,78,620.0
2017-09-06,635.0,689.0,635.0,680.0,2329194492,3425465,326,689.0
2017-09-10,689.0,699.0,645.0,670.0,884213415,1320138,157,676.0
2017-09-11,710.0,713.0,681.0,696.0,341354222,490691,107,698.0
2017-09-12,702.0,703.0,640.0,667.0,531246201,796364,117,668.0
2017-09-13,684.0,692.0,639.0,647.0,606818806,937307,119,656.0
2017-09-16,689.0,689.0,646.0,655.0,95999872,146568,26,663.0
2017-09-17,680.0,685.0,640.0,661.0,247880785,374908,58,652.0
2017-09-18,679.0,680.0,650.0,654.0,149736564,229078,30,650.0
2017-09-19,670.0,672.0,642.0,651.0,269906577,414918,64,658.0
2017-09-20,640.0,660.0,636.0,642.0,720250670,1121759,113,638.0
2017-09-23,660.0,660.0,630.0,635.0,274272454,432191,63,630.0
2017-09-24,648.0,648.0,627.0,636.0,92108060,144885,40,643.0
2017-09-25,631.0,657.0,631.0,635.0,181201013,285209,39,648.0
2017-09-26,640.0,647.0,630.0,635.0,144336696,227471,34,630.0
2017-09-27,639.0,648.0,630.0,637.0,128090125,201111,34,645.0
2017-10-02,628.0,640.0,612.0,617.0,472600031,765734,89,612.0
2017-10-03,600.0,630.0,600.0,608.0,243583030,400817,48,601.0
2017-10-04,624.0,624.0,600.0,609.0,467682804,767498,74,615.0
2017-10-07,611.0,624.0,590.0,596.0,314926506,528314,79,605.0
2017-10-08,608.0,608.0,565.0,577.0,293858633,509253,78,575.0
2017-10-09,551.0,598.0,550.0,568.0,141584500,249088,32,589.0
2017-10-10,561.0,618.0,561.0,604.0,273875577,453219,72,589.0
2017-10-11,605.0,605.0,587.0,594.0,140700984,236775,35,598.0
2017-10-14,610.0,611.0,581.0,595.0,200818313,337421,51,603.0
2017-10-15,581.0,634.0,581.0,617.0,197061964,319179,43,620.0
2017-10-16,626.0,626.0,601.0,613.0,152866431,249329,45,616.0
2017-10-17,620.0,620.0,590.0,595.0,176158866,295832,48,592.0
2017-10-18,600.0,612.0,586.0,605.0,643880379,1063548,135,610.0
2017-10-21,600.0,659.0,600.0,648.0,922687095,1423794,220,653.0
2017-10-22,658.0,662.0,625.0,638.0,160517825,251646,63,644.0
2017-10-23,648.0,655.0,600.0,623.0,348472765,559402,92,636.0
2017-10-24,605.0,617.0,590.0,604.0,501478694,829942,110,610.0
2017-10-25,610.0,663.0,600.0,626.0,2953020748,4719210,445,626.0
2017-10-28,630.0,636.0,600.0,609.0,1553791240,2550713,217,600.0
