date,open,high,low,adjClose,value,volume,count,close
2018-09-22,1700.0,1700.0,1700.0,1700.0,67999600500,39999765,170479,1700.0
2018-09-23,1785.0,1785.0,1785.0,1785.0,119586075,66995,311,1785.0
2018-09-24,1874.0,1874.0,1874.0,1874.0,217230332,115918,519,1874.0
2018-09-25,1967.0,1967.0,1967.0,1967.0,223622329,113687,533,1967.0
2018-09-26,2065.0,2065.0,2065.0,2065.0,311893470,151038,684,2065.0
2018-09-29,2168.0,2168.0,2168.0,2168.0,417205584,192438,857,2168.0
2018-09-30,2276.0,2276.0,2276.0,2276.0,343992364,151139,676,2276.0
2018-10-01,2389.0,2389.0,2389.0,2389.0,832826901,348609,1573,2389.0
2018-10-02,2508.0,2508.0,2508.0,2508.0,3696899844,1474043,2289,2508.0
2018-10-03,2633.0,2633.0,2633.0,2633.0,3243676956,1231932,1255,2633.0
2018-10-06,2764.0,2764.0,2764.0,2764.0,4138799780,1497395,2288,2764.0
2018-10-07,2902.0,2902.0,2902.0,2902.0,15512492998,5345449,13497,2902.0
2018-10-08,3047.0,3047.0,3047.0,3047.0,19793964058,6496214,16497,3047.0
2018-10-09,3199.0,3358.0,3199.0,3354.0,45175554971,13469687,7468,3358.0
2018-10-10,3521.0,3521.0,3521.0,3521.0,22906414776,6505656,4940,3521.0
2018-10-13,3697.0,3697.0,3550.0,3695.0,164445540979,44500060,42123,3697.0
2018-10-14,3879.0,3879.0,3752.0,3874.0,38568046731,9954956,9466,3879.0
2018-10-15,4067.0,4067.0,4067.0,4067.0,910613501,223903,494,4067.0
2018-10-16,4270.0,4483.0,4270.0,4481.0,65124734232,14532275,5981,4483.0
2018-10-17,4705.0,4705.0,4705.0,4705.0,12043731965,2559773,2096,4705.0
2018-10-20,4940.0,4940.0,4940.0,4940.0,704038920,142518,500,4940.0
2018-10-21,5187.0,5187.0,5187.0,5187.0,913192098,176054,127,5187.0
2018-10-23,5446.0,5718.0,5174.0,5555.0,254060907959,45735080,26584,5718.0
2018-10-24,5642.0,5642.0,5278.0,5344.0,42498218990,7952486,6352,5278.0
2018-10-27,5077.0,5077.0,5077.0,5077.0,4868411455,958915,354,5077.0
2018-10-28,4824.0,4824.0,4824.0,4824.0,4408962336,913964,354,4824.0
2018-10-29,4583.0,4583.0,4583.0,4583.0,5467221105,1192935,532,4583.0
