date,open,high,low,adjClose,value,volume,count,close
2013-10-30,1000.0,1000.0,1000.0,1000.0,320400000,320400,3,1000.0
2013-12-01,1000.0,1000.0,1000.0,1000.0,132000000,132000,42,1000.0
2013-12-02,1000.0,1000.0,1000.0,1000.0,167600000,167600,58,1000.0
2013-12-07,1000.0,1000.0,1000.0,1000.0,58500000,58500,45,1000.0
2013-12-08,1000.0,1000.0,1000.0,1000.0,71500000,71500,55,1000.0
2013-12-09,1000.0,1000.0,1000.0,1000.0,142350000,142350,100,1000.0
2013-12-10,1000.0,1000.0,1000.0,1000.0,59800000,59800,42,1000.0
2013-12-14,1000.0,1000.0,1000.0,1000.0,58500000,58500,32,1000.0
2013-12-16,1000.0,1000.0,1000.0,1000.0,33800000,33800,24,1000.0
2013-12-18,1000.0,1000.0,1000.0,1000.0,1300000,1300,1,1000.0
2013-12-22,1000.0,1000.0,1000.0,1000.0,7800000,7800,2,1000.0
2013-12-29,1000.0,1000.0,1000.0,1000.0,5080600000,5080600,25,1000.0
2014-01-04,1000.0,1000.0,1000.0,1000.0,1024000000,1024000,30,1000.0
2014-01-05,1000.0,1000.0,1000.0,1000.0,20800000,20800,12,1000.0
2014-01-11,1000.0,1000.0,1000.0,1000.0,433320000,433320,10,1000.0
2014-04-15,1041.0,1041.0,1000.0,1026.0,75518800,73600,21,1041.0
2014-04-16,1000.0,1000.0,1000.0,1000.0,271550000,271550,73,1000.0
2014-04-19,1000.0,1000.0,1000.0,1000.0,317500000,317500,100,1000.0
2014-04-20,1000.0,1000.0,1000.0,1000.0,10800000,10800,3,1000.0
2014-04-27,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0
2014-04-28,1000.0,1000.0,1000.0,1000.0,711700000,711700,199,1000.0
2014-04-30,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0
2014-05-04,1000.0,1000.0,1000.0,1000.0,2000000,2000,1,1000.0
2014-05-05,1000.0,1000.0,1000.0,1000.0,446200000,446200,125,1000.0
2014-05-07,1000.0,1000.0,1000.0,1000.0,32400000,32400,9,1000.0
2014-05-10,1000.0,1000.0,1000.0,1000.0,228900000,228900,65,1000.0
2014-06-01,1000.0,1000.0,1000.0,1000.0,212400000,212400,59,1000.0
2014-06-02,1000.0,1000.0,1000.0,1000.0,501300000,501300,140,1000.0
2014-06-09,1000.0,1000.0,1000.0,1000.0,3600000,3600,1,1000.0
2014-06-16,1000.0,1000.0,1000.0,1000.0,133200000,133200,37,1000.0
2014-06-17,1000.0,1000.0,1000.0,1000.0,265800000,265800,74,1000.0
