date,open,high,low,adjClose,value,volume,count,close
2014-12-14,1121.0,1121.0,1121.0,1121.0,2075733280,1851680,85,1121.0
2015-01-18,1121.0,1121.0,1120.0,1120.0,45921000,41000,3,1120.0
2015-01-19,1100.0,1100.0,1100.0,1100.0,64900000,59000,2,1100.0
2015-03-01,1130.0,1130.0,1130.0,1130.0,113000,100,1,1130.0
2015-03-10,1100.0,1100.0,1001.0,1003.0,59065900,58900,3,1001.0
2015-04-19,1100.0,1100.0,1100.0,1100.0,220000,200,1,1100.0
2015-07-13,1100.0,1100.0,1100.0,1100.0,4400000,4000,1,1100.0
2016-02-15,1050.0,1050.0,1050.0,1050.0,288750000,275000,1,1050.0
2016-04-26,1200.0,1200.0,1200.0,1200.0,22305600,18588,1,1200.0
2016-05-08,1200.0,1200.0,1200.0,1200.0,3960000,3300,1,1200.0
2016-06-05,1220.0,1220.0,1220.0,1220.0,22677360,18588,1,1220.0
2016-06-29,1200.0,1200.0,1200.0,1200.0,4320000,3600,3,1200.0
2016-07-12,1200.0,1200.0,1200.0,1200.0,24000,20,2,1200.0
2016-09-06,900.0,900.0,900.0,900.0,302738400,336376,3,900.0
2016-11-01,1000.0,1000.0,999.0,999.0,7533162,7538,5,999.0
2017-04-12,999.0,999.0,999.0,999.0,89910,90,1,999.0
2017-05-15,920.0,920.0,920.0,920.0,31280000,34000,1,920.0
2018-01-13,920.0,920.0,920.0,920.0,117233760,127428,10,920.0
2018-01-15,920.0,920.0,920.0,920.0,119993760,130428,11,920.0
2018-01-20,1050.0,1050.0,1050.0,1050.0,11438700,10894,6,1050.0
2018-02-03,1050.0,1050.0,1050.0,1050.0,10500000,10000,2,1050.0
2018-02-07,1100.0,1100.0,1100.0,1100.0,52427100,47661,13,1100.0
2018-02-12,1100.0,1100.0,1100.0,1100.0,65681000,59710,7,1100.0
2018-02-14,1100.0,1100.0,1100.0,1100.0,52479900,47709,4,1100.0
2018-02-17,1210.0,1210.0,1210.0,1210.0,44168630,36503,15,1210.0
2018-02-19,1221.0,1221.0,1221.0,1221.0,159900939,130959,20,1221.0
2018-02-21,1334.0,1400.0,1334.0,1339.0,130629156,97584,19,1400.0
2018-02-24,1354.0,1354.0,1354.0,1354.0,98229992,72548,9,1354.0
2018-02-26,1401.0,1401.0,1401.0,1401.0,41301480,29480,3,1401.0
2018-03-03,1517.0,1517.0,1517.0,1517.0,89857978,59234,12,1517.0
2018-03-10,1573.0,1573.0,1573.0,1573.0,65623987,41719,14,1573.0
2018-03-12,2000.0,2000.0,1695.0,1797.0,103924855,57832,18,1695.0
2018-03-14,1975.0,1975.0,1975.0,1975.0,158554975,80281,22,1975.0
2018-03-17,2110.0,2110.0,2106.0,2109.0,144937410,68711,19,2106.0
2018-03-19,2110.0,2110.0,2110.0,2110.0,50279190,23829,21,2110.0
2018-04-04,2320.0,2320.0,2290.0,2316.0,160271060,69188,23,2290.0
2018-04-07,2350.0,2350.0,2350.0,2350.0,55948800,23808,8,2350.0
2018-04-30,2170.0,2170.0,2170.0,2170.0,62387500,28750,16,2170.0
2018-05-14,1999.0,1999.0,1999.0,1999.0,15966013,7987,7,1999.0
2018-05-16,1987.0,1987.0,1987.0,1987.0,10622502,5346,3,1987.0
2018-05-19,1987.0,1987.0,1987.0,1987.0,36276659,18257,2,1987.0
2018-06-11,1800.0,1800.0,1800.0,1800.0,10427400,5793,3,1800.0
2018-06-18,1799.0,1799.0,1799.0,1799.0,1799000,1000,1,1799.0
2018-06-20,1799.0,1799.0,1799.0,1799.0,1091993,607,1,1799.0
2018-06-23,1799.0,1799.0,1799.0,1799.0,1084797,603,1,1799.0
2018-06-25,1750.0,1750.0,1750.0,1750.0,3675000,2100,1,1750.0
2018-07-07,1749.0,1749.0,1749.0,1749.0,4442460,2540,2,1749.0
2018-07-16,1745.0,1745.0,1745.0,1745.0,61169230,35054,6,1745.0
2018-07-30,1715.0,1715.0,1501.0,1589.0,6738315,4241,3,1501.0
2018-08-13,1589.0,1589.0,1589.0,1589.0,1015371,639,1,1589.0
2018-08-20,1588.0,1588.0,1588.0,1588.0,38688444,24363,2,1588.0
2018-08-27,1588.0,1588.0,1588.0,1588.0,3970000,2500,1,1588.0
2018-08-29,1650.0,1650.0,1650.0,1650.0,63661950,38583,13,1650.0
2018-09-01,1650.0,1650.0,1650.0,1650.0,27837150,16871,6,1650.0
2018-09-03,2000.0,2000.0,2000.0,2000.0,249328000,124664,34,2000.0
2018-09-05,2393.0,2393.0,2393.0,2393.0,493118331,206067,26,2393.0
2018-09-08,2818.0,3000.0,2818.0,2883.0,652750170,226384,26,3000.0
2018-09-10,4000.0,4000.0,3000.0,3842.0,1213356000,315839,43,3000.0
2018-09-12,4596.0,4600.0,4596.0,4596.0,1050161656,228486,27,4600.0
2018-09-15,5510.0,5530.0,5510.0,5516.0,446120120,80874,21,5530.0
2018-09-17,7501.0,7501.0,7501.0,7501.0,2602959515,347015,102,7501.0
2018-09-22,8695.0,8695.0,8694.0,8695.0,2505298341,288134,69,8694.0
2018-09-24,8499.0,8499.0,8499.0,8499.0,164702121,19379,16,8499.0
2018-09-26,7700.0,7700.0,7689.0,7699.0,1623195585,210828,79,7689.0
2018-09-29,7399.0,7399.0,5500.0,6928.0,621667242,89739,26,5500.0
2018-10-01,5399.0,5399.0,4554.0,4825.0,1587495510,328995,54,4554.0
2018-10-03,3038.0,3600.0,3038.0,3090.0,460234170,148967,38,3600.0
2018-10-06,4002.0,4556.0,4002.0,4383.0,354748292,80946,19,4556.0
2018-10-08,5131.0,5131.0,5131.0,5131.0,180949846,35266,20,5131.0
2018-10-10,4500.0,4500.0,3718.0,3763.0,744391284,197793,20,3718.0
2018-10-13,3763.0,3763.0,3763.0,3763.0,18965520,5040,4,3763.0
2018-10-15,3311.0,3311.0,3311.0,3311.0,841043665,254015,47,3311.0
2018-10-17,3311.0,3311.0,3311.0,3311.0,678509986,204926,32,3311.0
2018-10-20,3311.0,3500.0,3311.0,3347.0,608341951,181763,45,3500.0
2018-10-22,3347.0,3347.0,3100.0,3174.0,114870679,36190,10,3100.0
2018-10-24,2700.0,2720.0,2700.0,2707.0,138754200,51266,15,2720.0
2018-10-27,2400.0,2609.0,2400.0,2470.0,118184000,47850,13,2609.0
2018-10-29,2200.0,3269.0,2200.0,2392.0,452146000,189000,18,3269.0
2018-10-31,2700.0,3100.0,2700.0,2975.0,198222600,66638,13,3100.0
2018-11-03,3500.0,3719.0,3500.0,3539.0,1824732909,515595,82,3719.0
2018-11-05,3499.0,3499.0,3499.0,3499.0,279647078,79922,37,3499.0
2018-11-10,3499.0,3499.0,3499.0,3499.0,54706865,15635,8,3499.0
2018-11-12,3499.0,3499.0,3499.0,3499.0,7914738,2262,5,3499.0
2018-11-14,2955.0,2955.0,2955.0,2955.0,73875000,25000,4,2955.0
2018-11-17,2600.0,2750.0,2600.0,2602.0,79330950,30483,7,2750.0
2018-11-19,2602.0,2750.0,2602.0,2642.0,155298770,58787,14,2750.0
2018-11-21,2900.0,2900.0,2900.0,2900.0,75765400,26126,14,2900.0
2018-11-24,2900.0,2900.0,2800.0,2872.0,206164900,71781,18,2800.0
2018-11-28,2779.0,2800.0,2779.0,2779.0,297364774,106993,53,2800.0
2018-12-01,2790.0,2790.0,2650.0,2726.0,65894300,24170,5,2650.0
2018-12-03,2500.0,2500.0,2500.0,2500.0,227992500,91197,27,2500.0
2018-12-05,2400.0,2424.0,2400.0,2401.0,122712912,51115,19,2424.0
2018-12-08,2412.0,2412.0,2412.0,2412.0,78361056,32488,8,2412.0
2018-12-10,2255.0,2255.0,2255.0,2255.0,111234640,49328,7,2255.0
2018-12-12,2188.0,2250.0,2188.0,2196.0,83477326,38018,13,2250.0
2018-12-15,2250.0,2250.0,2250.0,2250.0,107775000,47900,12,2250.0
2018-12-17,2250.0,2250.0,2250.0,2250.0,47043000,20908,9,2250.0
2018-12-19,2200.0,2200.0,2200.0,2200.0,117700000,53500,18,2200.0
2018-12-22,2021.0,2021.0,2021.0,2021.0,40426063,20003,5,2021.0
2018-12-24,2000.0,2000.0,2000.0,2000.0,316754000,158377,21,2000.0
2018-12-26,2050.0,2050.0,2050.0,2050.0,198064850,96617,9,2050.0
2018-12-29,2000.0,2100.0,2000.0,2010.0,263472000,131061,29,2100.0
2018-12-31,2010.0,2112.0,2010.0,2026.0,190166490,93849,13,2112.0
2019-01-02,2100.0,2200.0,2100.0,2123.0,314040500,147905,30,2200.0
2019-01-05,2150.0,2270.0,2150.0,2256.0,323035400,143176,14,2270.0
2019-01-07,2288.0,2290.0,2288.0,2288.0,533115848,232996,39,2290.0
2019-01-09,2650.0,2650.0,2650.0,2650.0,132500000,50000,7,2650.0
2019-01-12,2700.0,2700.0,2700.0,2700.0,1203587100,445773,54,2700.0
2019-01-14,2700.0,2700.0,2700.0,2700.0,406390500,150515,21,2700.0
2019-01-16,2700.0,2700.0,2700.0,2700.0,129956400,48132,12,2700.0
2019-01-19,2700.0,2700.0,2700.0,2700.0,144865800,53654,8,2700.0
2019-01-21,2711.0,2770.0,2711.0,2719.0,967600350,355850,32,2770.0
2019-01-23,3200.0,3451.0,3200.0,3231.0,2933570820,907970,107,3451.0
2019-01-26,3800.0,4250.0,3800.0,3982.0,1927272800,483967,74,4250.0
2019-01-29,4380.0,4818.0,4380.0,4706.0,5598588386,1189640,271,4818.0
2019-01-30,5000.0,5176.0,4700.0,5077.0,7273426751,1432575,341,5176.0
2019-02-02,5400.0,5449.0,4570.0,4760.0,3162878939,664482,189,4570.0
2019-02-03,4288.0,4500.0,4284.0,4288.0,2291437256,534443,101,4284.0
2019-02-04,3978.0,4632.0,3971.0,4310.0,3414885028,792344,257,4500.0
2019-02-05,4700.0,4700.0,4200.0,4279.0,1606947752,375529,142,4240.0
2019-02-06,4438.0,4540.0,4042.0,4242.0,2007968692,473365,180,4350.0
2019-02-10,4300.0,4300.0,4040.0,4128.0,1174882832,284610,78,4120.0
2019-02-12,4250.0,4427.0,3900.0,4218.0,908418579,215367,82,4212.0
2019-02-13,4222.0,4398.0,4012.0,4132.0,592214270,143312,70,4040.0
2019-02-16,3719.0,4180.0,3719.0,3986.0,1784459532,447650,183,4059.0
2019-02-17,4004.0,4160.0,3950.0,4023.0,756120142,187956,68,4100.0
2019-02-18,4150.0,4150.0,4000.0,4066.0,555663432,136669,64,4072.0
2019-02-19,4149.0,4472.0,3804.0,4367.0,4817626419,1103166,191,4472.0
2019-02-20,4803.0,4803.0,4502.0,4758.0,3272776136,687849,253,4600.0
2019-02-23,4799.0,4799.0,4283.0,4343.0,980456197,225732,115,4283.0
2019-02-24,4220.0,4220.0,4050.0,4097.0,1255913301,306569,84,4090.0
2019-02-25,4111.0,4300.0,4100.0,4222.0,473894442,112243,59,4295.0
2019-02-26,4100.0,4250.0,4100.0,4130.0,256818111,62188,48,4113.0
2019-02-27,4300.0,4370.0,4150.0,4202.0,803413577,191183,94,4161.0
2019-03-02,4250.0,4250.0,4070.0,4108.0,529440931,128893,53,4081.0
2019-03-03,4187.0,4335.0,4090.0,4180.0,751761614,179846,70,4109.0
2019-03-04,4330.0,4330.0,4100.0,4162.0,334606324,80394,50,4157.0
2019-03-05,4141.0,4260.0,4141.0,4230.0,637774290,150784,114,4191.0
2019-03-06,4191.0,4280.0,4151.0,4173.0,805204675,192939,67,4200.0
2019-03-09,4250.0,4255.0,4171.0,4202.0,326338749,77670,55,4174.0
2019-03-10,4200.0,4599.0,4200.0,4336.0,1185927603,273515,208,4599.0
2019-03-11,4620.0,4769.0,4551.0,4651.0,5071028784,1090394,327,4673.0
2019-03-12,4582.0,4797.0,4186.0,4410.0,2275587389,516013,195,4350.0
2019-03-13,4206.0,4587.0,4206.0,4395.0,1327423874,302021,132,4352.0
2019-03-16,4410.0,4570.0,4400.0,4467.0,1209885342,270875,140,4569.0
2019-03-17,4600.0,4913.0,4600.0,4869.0,2817260639,578606,184,4913.0
2019-03-18,5158.0,5343.0,4800.0,4949.0,3747716065,757227,240,5013.0
2019-03-19,5196.0,5197.0,5030.0,5055.0,545056713,107824,80,5047.0
2019-03-25,5270.0,5300.0,4640.0,4934.0,622239470,126124,74,4994.0
2019-03-26,5100.0,5120.0,4554.0,4960.0,1188869791,239685,178,5038.0
2019-03-27,4851.0,5456.0,4851.0,5348.0,7150594535,1337005,395,5450.0
2019-03-30,5454.0,5882.0,5454.0,5752.0,3980448693,691962,265,5882.0
2019-03-31,6100.0,6280.0,5178.0,5825.0,4495731739,771770,287,5896.0
2019-04-06,5947.0,5947.0,5512.0,5676.0,4373186336,770493,224,5657.0
2019-04-07,5768.0,5769.0,5500.0,5574.0,2021394269,362637,141,5500.0
2019-04-08,5450.0,5879.0,5300.0,5636.0,861857262,152932,101,5780.0
2019-04-09,5860.0,5860.0,5500.0,5582.0,1984791342,355600,141,5501.0
2019-04-10,5700.0,5700.0,5555.0,5615.0,3728276503,663929,191,5651.0
2019-04-13,5687.0,5800.0,5615.0,5747.0,1936926181,337029,134,5651.0
2019-04-14,5651.0,5651.0,5323.0,5521.0,412582847,74723,54,5499.0
2019-04-15,5379.0,5599.0,5352.0,5481.0,2047138506,373468,152,5400.0
2019-04-16,5540.0,5540.0,5000.0,5182.0,1300155853,250887,127,5090.0
2019-04-17,5131.0,5231.0,4666.0,4962.0,887248322,178801,104,4885.0
2019-04-20,4886.0,5298.0,4886.0,5166.0,1060847968,205361,117,5233.0
2019-04-22,5500.0,5682.0,5228.0,5459.0,6896556898,1263223,194,5228.0
2019-04-23,5690.0,5690.0,5228.0,5453.0,785087970,143983,57,5550.0
2019-04-24,5402.0,5800.0,5377.0,5690.0,3970600793,697776,157,5700.0
2019-04-27,6259.0,6259.0,5803.0,6129.0,2838691249,463151,193,6150.0
2019-04-28,6200.0,6741.0,6129.0,6678.0,8741541269,1309045,371,6741.0
2019-04-29,7200.0,7200.0,6381.0,6617.0,5665626501,856204,248,6600.0
2019-04-30,6620.0,6850.0,5956.0,6242.0,3076866898,492953,196,6000.0
2019-05-01,6189.0,6189.0,5773.0,5889.0,2341153915,397549,197,5999.0
2019-05-04,6100.0,6400.0,5910.0,6239.0,5008136447,802655,248,6400.0
2019-05-05,6527.0,6527.0,6350.0,6389.0,3239335601,506980,117,6381.0
2019-05-06,6000.0,6494.0,5751.0,6007.0,1768533637,294419,101,5840.0
2019-05-07,5700.0,6149.0,5407.0,5426.0,2867211593,528407,116,5499.0
2019-05-08,4891.0,5870.0,4890.0,5477.0,1828496219,333869,136,5601.0
2019-05-11,5804.0,5804.0,5000.0,5365.0,1161244747,216440,62,5358.0
2019-05-12,5364.0,5364.0,4900.0,4998.0,437559786,87542,47,5199.0
2019-05-13,5001.0,5497.0,5001.0,5356.0,1101805042,205728,47,5497.0
2019-05-14,5518.0,5891.0,5518.0,5869.0,2170233256,369770,91,5891.0
2019-05-15,6000.0,6452.0,6000.0,6113.0,6701760306,1096330,193,6023.0
2019-05-18,6300.0,6455.0,6060.0,6221.0,2761344018,443905,97,6114.0
2019-05-19,6355.0,6355.0,5608.0,5847.0,829606596,141878,62,5830.0
