date,open,high,low,adjClose,value,volume,count,close
2014-10-07,240.0,240.0,232.0,234.0,23440000,100000,2,232.0
2014-10-08,501.0,600.0,501.0,545.0,97409300,178626,7,590.0
2014-10-11,1000.0,1225.0,850.0,1008.0,119099000,118175,14,995.0
2014-10-12,1199.0,1199.0,1000.0,1053.0,76864508,73018,13,1000.0
2014-10-14,1010.0,1210.0,1000.0,1008.0,25434350,25235,4,1210.0
2014-10-15,940.0,940.0,930.0,930.0,37349500,40150,3,930.0
2014-10-18,920.0,920.0,920.0,920.0,16560000,18000,3,920.0
2014-10-19,880.0,920.0,870.0,876.0,42334000,48300,6,870.0
2014-10-20,750.0,820.0,690.0,723.0,57808200,80010,4,820.0
2014-10-25,650.0,810.0,650.0,657.0,27668470,42111,4,810.0
2014-10-26,600.0,655.0,600.0,637.0,31044600,48773,3,655.0
2014-11-08,690.0,750.0,690.0,738.0,4613880,6252,2,750.0
2014-11-09,798.0,798.0,798.0,798.0,798000,1000,1,798.0
2014-11-10,798.0,799.0,669.0,779.0,48411408,62145,7,750.0
2014-11-12,808.0,808.0,800.0,800.0,30648256,38298,4,800.0
2014-11-16,809.0,809.0,809.0,809.0,8094854,10006,2,809.0
2014-11-18,809.0,810.0,800.0,809.0,83519913,103257,4,810.0
2014-11-19,809.0,809.0,809.0,809.0,4009404,4956,1,809.0
2014-11-25,809.0,809.0,809.0,809.0,813045,1005,1,809.0
2014-11-30,809.0,809.0,809.0,809.0,1095386,1354,1,809.0
2014-12-03,605.0,605.0,604.0,604.0,31019170,51354,2,604.0
2014-12-09,630.0,630.0,630.0,630.0,3150000,5000,1,630.0
2014-12-14,720.0,800.0,700.0,775.0,102915000,132750,7,700.0
2014-12-15,620.0,700.0,620.0,673.0,29882880,44424,4,700.0
2014-12-16,850.0,850.0,850.0,850.0,24949200,29352,3,850.0
2014-12-24,800.0,800.0,800.0,800.0,50118400,62648,2,800.0
2014-12-27,800.0,800.0,800.0,800.0,4000000,5000,1,800.0
2014-12-28,800.0,800.0,800.0,800.0,12000000,15000,1,800.0
2014-12-30,800.0,800.0,800.0,800.0,78112800,97641,9,800.0
2015-01-04,800.0,850.0,800.0,842.0,26004520,30902,3,840.0
2015-01-05,870.0,900.0,870.0,886.0,69330340,78282,3,895.0
2015-01-06,865.0,900.0,865.0,874.0,34950000,40000,2,900.0
2015-01-07,800.0,800.0,800.0,800.0,3040000,3800,1,800.0
2015-01-10,800.0,800.0,800.0,800.0,7502400,9378,1,800.0
2015-01-11,800.0,800.0,800.0,800.0,8000000,10000,1,800.0
2015-01-13,975.0,975.0,975.0,975.0,48750000,50000,1,975.0
2015-01-14,975.0,987.0,975.0,980.0,131135740,133763,5,980.0
2015-01-17,985.0,985.0,985.0,985.0,26595000,27000,1,985.0
2015-01-18,1070.0,1080.0,1070.0,1078.0,24239940,22483,4,1080.0
2015-01-20,977.0,1050.0,977.0,990.0,34157000,34500,4,1050.0
2015-01-21,1220.0,1300.0,1200.0,1286.0,192616250,149777,9,1200.0
2015-01-25,1005.0,1005.0,1005.0,1005.0,5598855,5571,1,1005.0
2015-01-26,980.0,980.0,980.0,980.0,7840000,8000,1,980.0
2015-01-28,1100.0,1100.0,1100.0,1100.0,110000,100,1,1100.0
2015-02-01,1100.0,1100.0,1000.0,1015.0,48263000,47573,2,1000.0
2015-02-03,1250.0,1250.0,1250.0,1250.0,4875000,3900,1,1250.0
