date,open,high,low,adjClose,value,volume,count,close
2017-09-13,700.0,700.0,700.0,700.0,2128000000,3040000,307,700.0
2017-09-16,700.0,700.0,700.0,700.0,651721000,931030,174,700.0
2017-09-18,600.0,600.0,600.0,600.0,411649800,686083,29,600.0
2017-09-20,670.0,670.0,670.0,670.0,218719490,326447,28,670.0
2017-09-23,610.0,610.0,610.0,610.0,189100000,310000,23,610.0
2017-09-25,649.0,649.0,610.0,614.0,1473431041,2399809,116,610.0
2017-09-27,621.0,621.0,610.0,621.0,290331700,467700,28,610.0
2017-10-02,621.0,621.0,600.0,601.0,236694000,394000,13,600.0
2017-10-04,601.0,601.0,601.0,601.0,37111750,61750,5,601.0
2017-10-07,601.0,601.0,600.0,601.0,11297000,18800,7,600.0
2017-10-09,601.0,601.0,601.0,601.0,178644245,297245,24,601.0
2017-10-11,601.0,601.0,600.0,600.0,357166686,595086,32,600.0
2017-10-14,600.0,600.0,600.0,600.0,43920000,73200,4,600.0
2017-10-16,600.0,600.0,600.0,600.0,214200000,357000,18,600.0
2017-10-18,600.0,600.0,570.0,570.0,2953200000,5180000,179,570.0
2017-10-21,560.0,560.0,560.0,560.0,174301120,311252,10,560.0
2017-10-23,560.0,560.0,560.0,560.0,122349920,218482,11,560.0
2017-10-25,551.0,551.0,550.0,551.0,264888750,480868,32,550.0
2017-10-28,551.0,551.0,551.0,551.0,440782368,799968,54,551.0
2017-10-30,551.0,551.0,551.0,551.0,40589966,73666,9,551.0
2017-11-01,550.0,550.0,531.0,548.0,472374900,862318,39,531.0
2017-11-04,548.0,548.0,548.0,548.0,23290000,42500,4,548.0
2017-11-06,550.0,550.0,550.0,550.0,88000000,160000,11,550.0
2017-11-08,594.0,615.0,594.0,602.0,8791490778,14597737,509,615.0
2017-11-11,670.0,671.0,670.0,670.0,8227833640,12279692,654,671.0
2017-11-13,674.0,688.0,674.0,677.0,3363944710,4967263,293,688.0
2017-11-15,698.0,730.0,698.0,702.0,6537316420,9317690,439,730.0
2017-11-18,722.0,722.0,679.0,714.0,3093319341,4334820,250,679.0
2017-11-20,697.0,697.0,659.0,674.0,879774101,1304467,71,659.0
2017-11-22,674.0,674.0,620.0,654.0,892798580,1364767,73,620.0
2017-11-25,621.0,630.0,621.0,621.0,2621151972,4220132,234,630.0
2017-11-29,636.0,636.0,603.0,615.0,956698491,1556439,74,603.0
2017-12-02,580.0,620.0,580.0,597.0,405597340,679323,46,620.0
2017-12-04,610.0,610.0,610.0,610.0,1398520770,2292657,156,610.0
2017-12-09,610.0,610.0,610.0,610.0,562596900,922290,73,610.0
2017-12-11,629.0,629.0,620.0,627.0,440908312,703328,55,620.0
